date,tempActual,tempIdeal,heaterStatus,fanStatus,opStatus
Sat Nov 21 2020 20:44:43 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:44:46 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:44:49 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:44:53 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:44:56 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:44:59 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:03 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:06 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:45:09 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:12 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:16 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:45:19 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:22 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:26 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:29 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:32 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:45:36 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:39 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:45:42 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:45 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:49 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:52 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:45:55 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:45:59 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:46:02 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:05 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:46:09 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:12 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:46:15 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:18 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:46:22 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:25 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:28 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:46:32 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:35 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:38 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:42 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:45 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:48 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:46:51 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:55 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:46:58 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:47:01 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:47:05 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:47:08 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:47:11 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:47:14 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:47:18 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:47:21 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:47:24 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:47:28 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:47:31 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:47:34 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:47:38 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:47:41 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:47:44 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:47:47 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:47:51 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:47:54 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:47:57 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:48:01 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:48:04 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:48:07 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:48:11 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:48:14 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:48:17 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:48:20 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:48:24 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:48:27 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:48:28 GMT-0600 (hora estándar central),18.13,17,0,0,0
Sat Nov 21 2020 20:48:30 GMT-0600 (hora estándar central),18.19,17.00,0,1,0
Sat Nov 21 2020 20:48:34 GMT-0600 (hora estándar central),18.19,17.00,0,1,0
Sat Nov 21 2020 20:48:37 GMT-0600 (hora estándar central),18.19,17.00,0,1,0
Sat Nov 21 2020 20:48:40 GMT-0600 (hora estándar central),18.19,17.00,0,1,0
Sat Nov 21 2020 20:48:43 GMT-0600 (hora estándar central),18.19,18,0,1,0
Sat Nov 21 2020 20:48:44 GMT-0600 (hora estándar central),18.19,17.00,0,1,0
Sat Nov 21 2020 20:48:47 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:48:50 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:48:53 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:48:57 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:49:00 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:49:03 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:49:07 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:49:10 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:49:13 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:49:17 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:49:20 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:49:23 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:49:26 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:49:30 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:49:33 GMT-0600 (hora estándar central),18.19,18,0,0,1
Sat Nov 21 2020 20:49:33 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
